"Ana_Lab_Seq_Num","Ana_Sam_Fdt_Id","Fdt_Sta_Id","Fdt_Date_Time","Ana_Sam_Mrs_Container_Id_Desc","Associated Analyte Records","TS RESIDUE, TOTAL (MG/L) TOTAL SOLIDS","NITRITE NITROGEN, TOTAL (MG/L AS N)","NITRATE NITROGEN, TOTAL (MG/L AS N)","PHOSPHORUS,IN TOTAL ORTHOPHOSPHATE (MG/L AS P)","NITROGEN, AMMONIA, TOTAL (MG/L AS N)","PHOSPHORUS, TOTAL (MG/L AS P)","NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)","NITROGEN, TOTAL (MG/L AS N)","TURBIDITY,LAB NEPHELOMETRIC TURBIDITY UNITS, NTU","TDS RESIDUE,TOTAL FILTRABLE (DRIED AT 180C),MG/L","SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)","SULFATE, TOTAL (MG/L AS SO4)","CHLORIDE,TOTAL IN WATER MG/L","TSS RESIDUE, TOTAL NONFILTRABLE (MG/L) TOTAL SUSPENDED SOLIDS","TF RESIDUE, TOTAL FIXED (MG/L) TOTAL FIXED SOLIDS","TV RESIDUE, TOTAL VOLATILE (MG/L) TOTAL VOLATILE SOLIDS","ALKALINITY, TOTAL (MG/L AS CACO3)","PH, LAB, STANDARD UNITS SU","BOD_5 DAY_20 DEG C MG/L","TSF RESIDUE, FIXED NONFILTRABLE (MG/L) TOTAL SUSPENDED FIXED SOLIDS","TSV RESIDUE, VOLATILE NONFILTRABLE (MG/L) TOTAL SUSPENDED VOLATILE SOLIDS","SELENIUM, DISSOLVED (UG/L AS SE)","CALCIUM, DISSOLVED (MG/L AS CA)","MAGNESIUM, DISSOLVED (MG/L AS MG)","ARSENIC, DISSOLVED  (UG/L AS AS)","BERYLLIUM, DISSOLVED (UG/L AS BE)","CADMIUM, DISSOLVED (UG/L AS CD)","CHROMIUM, DISSOLVED (UG/L AS CR)","COPPER, DISSOLVED (UG/L AS CU)","IRON, DISSOLVED (UG/L AS FE)","LEAD, DISSOLVED (UG/L AS PB)","THALLIUM, DISSOLVED (UG/L AS TL)","NICKEL, DISSOLVED (UG/L AS NI)","SILVER, DISSOLVED (UG/L AS AG)","ZINC, DISSOLVED (UG/L AS ZN)","ANTIMONY, DISSOLVED (UG/L AS SB)","HARDNESS, CA MG CALCULATED (MG/L AS CACO3) AS DISSOLVED","MERCURY-TL,FILTERED WATER,ULTRATRACE METHOD NG/L","ALUMINUM, DISSOLVED (UG/L AS AL)","BARIUM, DISSOLVED (UG/L AS BA)","MANGANESE, DISSOLVED (UG/L AS MN)","BENTHIC ASH FREE DRY MASS, GM/M2","BENTHIC CHLOROPHYLL A, MG/M2","CARBON, TOTAL ORGANIC (MG/L AS C)","CARBON, DISSOLVED ORGANIC (MG/L AS C)","SUSPENDED SED SIEVE DIAMETER,% FINER THAN .062MM","SUSP. SED. CONC. - >62 um,MG/L, (Method C)","SUSP. SED. CONC. - <62 um,MG/L, (Method C)","SUSP. SED. CONC. TOTAL, MG/L,(Method B)","COD, .25N K2CR2O7 MG/L","TURBIDITY, (JACKSON CANDLE UNITS)","HARDNESS, TOTAL (MG/L AS CACO3)","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)","FLUORIDE, TOTAL (MG/L AS F)","FLOW, STRM,1DRY,2LOW,3NORM,4FLOOD,5ABOVE NORM,CODE","STORET STORAGE TRANSACTION DATE YR/MO/DAY","COLOR (PLATINUM-COBALT UNITS)","SILICA, DISSOLVED (MG/L AS SI02)","FECAL COLIFORM,MEMBR FILTER,M-FC BROTH,44.5 C","FLUORIDE, DISSOLVED (MG/L AS F)","CADMIUM, TOTAL (UG/L AS CD)","COPPER, TOTAL (UG/L AS CU)","IRON, TOTAL (UG/L AS FE)","NICKEL, TOTAL (UG/L AS NI)","SELENIUM, TOTAL (UG/L AS SE)","MERCURY, TOTAL  (UG/L AS HG)","TANNIN AND LIGNIN (MG/L)","TURBIDITY,FIELD NEPHELOMETRIC TURBIDITY UNITS,NTU","TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)","TDS RESIDUE, TOTAL FILTRABLE  (DRIED AT 105C),MG/L TOTAL DISSOLVED SOLIDS","MANGANESE IN BOTTOM DEPOSITS (MG/KG AS MN DRY WGT)","NICKEL, TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)","SILVER IN BOTTOM DEPOSITS (MG/KG AS AG DRY WGT)","ZINC IN BOTTOM DEPOSITS (MG/KG AS ZN DRY WGT)","ANTIMONY IN BOTTOM DEPOSITS (MG/KG AS SB DRY WGT)","ALUMINUM IN BOTTOM DEPOSITS (MG/KG AS AL DRY WGT)","SELENIUM IN BOTTOM DEPOSITS (MG/KG AS SE DRY WGT)","IRON IN BOTTOM DEPOSITS (MG/KG AS FE DRY WGT)","THALLIUM DRY WGTBOTMG/KG","MERCURY,TOT IN BOT DEPOS (MG/KG AS HG DRY WGT)","ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)","BERYLLIUM IN BOTTOM DEPOSITS(MG/KG AS BE DRY WGT)","CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)","CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)","COPPER IN BOTTOM DEPOSITS (MG/KG AS CU DRY WGT)","LEAD IN BOTTOM DEPOSITS (MG/KG AS PB DRY WGT)","ALDRIN IN BOTTOM DEPOS. (UG/KILOGRAM DRY SOLIDS)","CHLORDANE(TECH MIX&METABS),SEDIMENTS,DRY WGT,UG/KG","DDD IN BOTTOM DEPOS. (UG/KILOGRAM DRY SOLIDS)","DDE IN BOTTOM DEPOS. (UG/KILOGRAM DRY SOLIDS)","DDT IN BOTTOM DEPOS. (UG/KILOGRAM DRY SOLIDS)","DIELDRIN IN BOTTOM DEPOS. (UG/KILOGRAM DRY SOL.)","ENDRIN IN BOTTOM DEPOS. (UG/KILOGRAM DRY SOLIDS)","TOXAPHENE IN BOTTOM DEPOS. (UG/KILOGRAM DRY SOL.)","HEPTACHLOR IN BOT. DEP. (UG/KILOGRAM DRY SOLIDS)","PCBS TOTAL,IN SEDIMENT,DRY (ISOMER ANALYSES) UG/KG","HEPTACHLOR EPOXIDE SEDIMENT,DRY,WT,UG/KG","DICOFOL (KELTHANE) SEDIMENT,DRY,WT,UG/KG","PCP (PENTACHLOROPHENOL) IN BOT DEPOS DRY SOL UG/KG","ZINC, TOTAL (UG/L AS ZN)","ARSENIC, TOTAL (UG/L AS AS)","CHROMIUM, TOTAL (UG/L AS CR)","LEAD, TOTAL (UG/L AS PB)","MANGANESE, TOTAL (UG/L AS MN)","PHOSPHORUS, SUSPENDED ORTHOPHOSPHATE (MG/L AS P)","SALINITY - PARTS PER THOUSAND","MERCURY, DISSOLVED (UG/L AS HG)","COLOR,SPECTROPHOTO,WATER SMPL AT7.6PH ADMI UNITS","COLOR,SPECTROPHTOMETRIC,FIL,WATER SPL ADMI UNITS","CHLOROPHYLL-B UG/L TRICHROMATIC UNCORRECTED","CHLOROPHYLL-C UG/L TRICHROMATIC UNCORRECTED","PHEOPHYTIN-A UG/L SPECTROPHOTOMETRIC ACID. METH.","PHEOPHYTIN RATIO(OD 663)SPECTRO,BEFORE/AFTER ACID","630 Optical Path Density before addition of HCl","647 Optical Path Density before addition of HCl","664 Optical Path Density before addition of HCL","665 Optical Path Density after addition of HCl","VOLUME OF WATER FILTERED  LITERS","750 Optical Path Density after addition of HCl","750 Optical Path Density before addition of HCl","Cell Path (cm)","Chlorophyll Extract Volume (ml)","CHLOROPHYLL-A UG/L TRICHROMATIC UNCORRECTED","CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH."
"1","72293","2-JKS006.67",1999-12-09 10:20:00,"R",1,553,0.01,0.07,0.06,0.04,0.06,0.4,NA,NA,NA,826,197,56.3,3,498,55,122,6.9,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,37,NA,100,NA,NA,NA,NA,NA,NA,NA,0.8,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","74386","2-JKS006.67",2000-01-13 10:00:00,"R",1,315,0.01,0.09,0.05,0.04,0.1,0.6,NA,NA,NA,483,95.8,29.3,3,292,23,87.4,6.45,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,37,NA,100,NA,NA,NA,NA,NA,NA,NA,1.02,NA,3.34,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","74386","2-JKS006.67",2000-01-13 10:00:00,"R",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","72293","2-JKS006.67",1999-12-09 10:20:00,"R",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","109070","2-JKS006.67",1999-01-13 10:15:00,"R",1,429,0.01,0.19,0.06,0.04,0.1,1.2,NA,NA,NA,654,133,42.4,7,385,44,111,7.86,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,186,NA,NA,NA,NA,52,NA,200,NA,NA,NA,NA,NA,NA,NA,1,NA,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","76531","2-JKS006.67",2000-02-24 10:30:00,"R",1,212,0.01,0.31,0.15,0.04,0.19,0.3,NA,NA,NA,349,62.6,19.5,3,179,33,69,6.31,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,22,NA,100,NA,NA,NA,NA,NA,NA,NA,0.47,NA,3.31,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","105415","2-JKS006.67",1999-02-08 10:20:00,"R",1,301,0.01,0.21,0.05,0.04,0.1,0.4,NA,NA,NA,483,94.2,28.1,3,252,49,86.1,7.71,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,128,NA,NA,NA,NA,32,NA,200,NA,NA,NA,NA,NA,NA,NA,0.6,NA,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","109070","2-JKS006.67",1999-01-13 10:15:00,"R",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","109078","2-JKS006.67",1999-03-18 09:30:00,"R",1,145,0.01,0.25,0.05,0.04,0.1,1,NA,NA,NA,164,24.9,7.5,52,119,26,32.7,6.26,3,40,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,60,NA,NA,NA,NA,31,NA,200,NA,NA,NA,NA,NA,NA,NA,0.2,NA,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","105415","2-JKS006.67",1999-02-08 10:20:00,"R",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","105405","2-JKS006.67",1999-04-07 10:00:00,"R",1,298,0.01,0.04,0.01,0.04,0.1,0.1,NA,NA,NA,459,94.1,24.8,4,265,33,87.9,7.28,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,70,NA,NA,NA,NA,29,NA,100,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","109078","2-JKS006.67",1999-03-18 09:30:00,"R",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","105416","2-JKS006.67",1999-05-03 11:45:00,"R",1,328,0.01,0.1,0.03,0.04,0.1,0.8,NA,NA,NA,494,107,25.9,5,285,43,86.4,7.87,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,134,NA,NA,NA,NA,37,NA,100,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","105405","2-JKS006.67",1999-04-07 10:00:00,"R",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
